"","name","group","host","ref_strain","collection_time","sample_number"
"1","01_4183_0000_01",1,4183,"ref_strain",0,1
"2","01_6055_0000_01",1,6055,"ref_strain",0,1
"3","01_5725_0001_01",1,5725,"ref_strain",1,1
"4","01_2167_0002_01",1,2167,"ref_strain",2,1
"5","01_3550_0002_01",1,3550,"ref_strain",2,1
"6","01_12608_0003_01",1,12608,"ref_strain",3,1
"7","01_3012_0004_01",1,3012,"ref_strain",4,1
"8","01_11449_0004_01",1,11449,"ref_strain",4,1
"9","01_7104_0005_01",1,7104,"ref_strain",5,1
"10","01_11762_0005_01",1,11762,"ref_strain",5,1
"11","01_2666_0007_01",1,2666,"ref_strain",7,1
"12","01_0683_0008_01",1,683,"ref_strain",8,1
"13","01_14175_0008_01",1,14175,"ref_strain",8,1
"14","01_4617_0009_01",1,4617,"ref_strain",9,1
"15","01_13686_0009_01",1,13686,"ref_strain",9,1
"16","01_5170_0010_01",1,5170,"ref_strain",10,1
"17","01_9517_0010_01",1,9517,"ref_strain",10,1
"18","01_2328_0011_01",1,2328,"ref_strain",11,1
"19","01_1148_0013_01",1,1148,"ref_strain",13,1
"20","01_11106_0013_01",1,11106,"ref_strain",13,1
"21","01_2670_0015_01",1,2670,"ref_strain",15,1
"22","01_4984_0015_01",1,4984,"ref_strain",15,1
"23","01_13770_0015_01",1,13770,"ref_strain",15,1
"24","01_0002_0016_01",1,2,"ref_strain",16,1
"25","01_3338_0016_01",1,3338,"ref_strain",16,1
"26","01_5084_0016_01",1,5084,"ref_strain",16,1
"27","01_6210_0017_01",1,6210,"ref_strain",17,1
"28","01_9906_0018_01",1,9906,"ref_strain",18,1
"29","01_11847_0018_01",1,11847,"ref_strain",18,1
"30","01_2955_0019_01",1,2955,"ref_strain",19,1
"31","01_3011_0020_01",1,3011,"ref_strain",20,1
"32","01_5182_0020_01",1,5182,"ref_strain",20,1
"33","01_14441_0020_01",1,14441,"ref_strain",20,1
"34","01_0554_0022_01",1,554,"ref_strain",22,1
"35","01_2741_0022_01",1,2741,"ref_strain",22,1
"36","01_3396_0022_01",1,3396,"ref_strain",22,1
"37","01_3893_0022_01",1,3893,"ref_strain",22,1
"38","01_4155_0022_01",1,4155,"ref_strain",22,1
"39","01_9968_0022_01",1,9968,"ref_strain",22,1
"40","01_12932_0022_01",1,12932,"ref_strain",22,1
"41","01_9463_0023_01",1,9463,"ref_strain",23,1
"42","01_12510_0023_01",1,12510,"ref_strain",23,1
"43","01_0331_0024_01",1,331,"ref_strain",24,1
"44","01_2419_0024_01",1,2419,"ref_strain",24,1
"45","01_6196_0024_01",1,6196,"ref_strain",24,1
"46","01_7441_0024_01",1,7441,"ref_strain",24,1
"47","01_2593_0025_01",1,2593,"ref_strain",25,1
"48","01_4302_0025_01",1,4302,"ref_strain",25,1
"49","01_8104_0025_01",1,8104,"ref_strain",25,1
"50","01_12356_0025_01",1,12356,"ref_strain",25,1
"51","01_13849_0025_01",1,13849,"ref_strain",25,1
"52","01_0565_0026_01",1,565,"ref_strain",26,1
"53","01_0971_0026_01",1,971,"ref_strain",26,1
"54","01_1124_0026_01",1,1124,"ref_strain",26,1
