"","name","group","host","ref_strain","collection_time","sample_number"
"1","01_3293_0000_01",1,3293,"ref_strain",0,1
"2","01_3699_0001_01",1,3699,"ref_strain",1,1
"3","01_8676_0001_01",1,8676,"ref_strain",1,1
"4","01_2099_0002_01",1,2099,"ref_strain",2,1
"5","01_10897_0002_01",1,10897,"ref_strain",2,1
"6","01_0104_0005_01",1,104,"ref_strain",5,1
"7","01_3878_0006_01",1,3878,"ref_strain",6,1
"8","01_9989_0007_01",1,9989,"ref_strain",7,1
"9","01_0689_0009_01",1,689,"ref_strain",9,1
"10","01_4331_0013_01",1,4331,"ref_strain",13,1
