"","name","group","host","ref_strain","collection_time","sample_number"
"1","01_5892_0000_01",1,5892,"ref_strain",0,1
"2","01_11091_0000_01",1,11091,"ref_strain",0,1
"3","01_1054_0001_01",1,1054,"ref_strain",1,1
"4","01_6049_0002_01",1,6049,"ref_strain",2,1
"5","01_13185_0002_01",1,13185,"ref_strain",2,1
"6","01_13886_0002_01",1,13886,"ref_strain",2,1
"7","01_5572_0003_01",1,5572,"ref_strain",3,1
"8","01_11075_0003_01",1,11075,"ref_strain",3,1
"9","01_0108_0004_01",1,108,"ref_strain",4,1
"10","01_8085_0004_01",1,8085,"ref_strain",4,1
"11","01_14442_0004_01",1,14442,"ref_strain",4,1
"12","01_8003_0005_01",1,8003,"ref_strain",5,1
"13","01_11084_0005_01",1,11084,"ref_strain",5,1
"14","01_13390_0006_01",1,13390,"ref_strain",6,1
"15","01_3026_0007_01",1,3026,"ref_strain",7,1
"16","01_5727_0008_01",1,5727,"ref_strain",8,1
"17","01_2442_0009_01",1,2442,"ref_strain",9,1
"18","01_4322_0010_01",1,4322,"ref_strain",10,1
"19","01_9483_0010_01",1,9483,"ref_strain",10,1
"20","01_10209_0010_01",1,10209,"ref_strain",10,1
"21","01_11535_0010_01",1,11535,"ref_strain",10,1
"22","01_11733_0010_01",1,11733,"ref_strain",10,1
"23","01_1900_0011_01",1,1900,"ref_strain",11,1
"24","01_8901_0011_01",1,8901,"ref_strain",11,1
"25","01_3719_0012_01",1,3719,"ref_strain",12,1
"26","01_8706_0012_01",1,8706,"ref_strain",12,1
"27","01_12238_0012_01",1,12238,"ref_strain",12,1
"28","01_0637_0013_01",1,637,"ref_strain",13,1
"29","01_1344_0013_01",1,1344,"ref_strain",13,1
"30","01_8682_0013_01",1,8682,"ref_strain",13,1
"31","01_9593_0013_01",1,9593,"ref_strain",13,1
"32","01_12560_0013_01",1,12560,"ref_strain",13,1
"33","01_0728_0014_01",1,728,"ref_strain",14,1
"34","01_0922_0014_01",1,922,"ref_strain",14,1
"35","01_7508_0014_01",1,7508,"ref_strain",14,1
"36","01_12080_0014_01",1,12080,"ref_strain",14,1
"37","01_2339_0015_01",1,2339,"ref_strain",15,1
"38","01_4931_0015_01",1,4931,"ref_strain",15,1
"39","01_7754_0015_01",1,7754,"ref_strain",15,1
"40","01_0394_0016_01",1,394,"ref_strain",16,1
"41","01_6578_0016_01",1,6578,"ref_strain",16,1
"42","01_8253_0016_01",1,8253,"ref_strain",16,1
"43","01_8464_0016_01",1,8464,"ref_strain",16,1
"44","01_3049_0017_01",1,3049,"ref_strain",17,1
"45","01_6239_0017_01",1,6239,"ref_strain",17,1
"46","01_7256_0017_01",1,7256,"ref_strain",17,1
"47","01_9295_0017_01",1,9295,"ref_strain",17,1
"48","01_9988_0017_01",1,9988,"ref_strain",17,1
"49","01_11174_0017_01",1,11174,"ref_strain",17,1
"50","01_13321_0017_01",1,13321,"ref_strain",17,1
"51","01_14207_0017_01",1,14207,"ref_strain",17,1
"52","01_3897_0018_01",1,3897,"ref_strain",18,1
"53","01_6823_0018_01",1,6823,"ref_strain",18,1
"54","01_8600_0018_01",1,8600,"ref_strain",18,1
