"X","host_id","group","infector_id","infector_group","exposure_time","infectious_time","recovery_time"
1,11379,1,NA,NA,0,0,6
2,119,1,NA,NA,0,0,6
4,10610,1,NA,NA,0,0,5
5,1755,1,NA,NA,0,0,6
3,5088,1,NA,NA,0,0,5
9,9163,1,5088,1,2,4,11
6,9225,1,10610,1,2,3,9
7,3364,1,5088,1,3,5,9
8,4027,1,7096,1,3,4,9
16,4141,1,4166,1,4,6,12
22,4369,1,9225,1,4,5,12
12,2230,1,9163,1,5,8,14
14,7325,1,4369,1,6,8,13
11,9976,1,9225,1,6,7,12
18,8199,1,4369,1,7,8,14
23,9064,1,579,1,8,11,17
39,5643,1,2230,1,8,9,16
47,4483,1,9976,1,9,12,18
37,4967,1,4141,1,9,11,16
30,2024,1,9654,1,9,11,16
31,3953,1,7251,1,11,12,18
46,839,1,579,1,11,14,19
49,10748,1,1021,1,11,14,18
55,3668,1,1664,1,12,17,22
36,2556,1,2230,1,12,14,19
50,1625,1,7455,1,12,13,20
45,10915,1,10621,1,13,16,20
48,7983,1,5498,1,13,16,20
53,743,1,9603,1,14,15,21
61,9632,1,9603,1,15,18,24
52,7818,1,743,1,16,18,23
59,3901,1,743,1,16,17,22
85,10365,1,7983,1,17,25,30
64,5082,1,5498,1,17,20,26
69,11175,1,7983,1,17,21,28
66,5669,1,2556,1,17,18,23
88,6225,1,6333,1,18,20,27
80,7989,1,6333,1,18,20,26
75,11371,1,10226,1,18,19,24
67,6182,1,1203,1,19,22,28
60,6265,1,7818,1,19,21,25
74,10067,1,6333,1,19,20,27
72,3596,1,5669,1,19,20,25
94,8078,1,11371,1,20,22,28
77,4331,1,6333,1,20,21,27
90,10679,1,4331,1,21,23,27
84,10195,1,5082,1,21,24,30
82,10742,1,6265,1,21,23,28
96,10980,1,5357,1,22,25,32
103,10854,1,6265,1,22,25,33
71,2824,1,11175,1,22,23,29
76,1385,1,5439,1,22,23,28
93,6586,1,5439,1,23,24,30
97,11263,1,4331,1,23,26,33
135,9704,1,8100,1,25,27,33
136,646,1,6434,1,26,28,35
110,10644,1,466,1,27,28,34
137,712,1,10195,1,27,29,34
120,7028,1,9817,1,27,30,35
167,309,1,9704,1,28,30,39
113,10527,1,7895,1,28,30,34
128,1311,1,738,1,29,30,33
138,2979,1,6862,1,29,32,38
141,5874,1,712,1,30,33,36
118,5263,1,4582,1,30,31,35
172,4152,1,712,1,31,34,38
159,2826,1,712,1,31,33,37
168,375,1,4582,1,32,33,38
194,9813,1,10868,1,32,33,40
149,9833,1,8440,1,32,34,40
147,8990,1,9475,1,32,34,38
213,6632,1,1370,1,35,37,43
236,6594,1,7732,1,35,37,43
193,9145,1,2903,1,36,38,44
224,6113,1,2903,1,36,38,45
191,8487,1,10895,1,36,37,42
210,6072,1,5121,1,37,39,43
244,1153,1,8302,1,37,39,45
212,6431,1,2903,1,37,39,46
238,7523,1,8582,1,38,40,44
214,7504,1,5440,1,38,39,43
227,9828,1,6594,1,38,39,43
228,10734,1,4197,1,39,40,45
273,11137,1,817,1,39,42,47
262,10558,1,9546,1,41,44,50
267,6044,1,7504,1,42,43,47
297,7965,1,171,1,43,45,50
294,6498,1,8347,1,44,46,50
289,423,1,1134,1,45,47,51
304,3100,1,8571,1,45,48,54
284,3554,1,7175,1,45,46,52
346,9570,1,1829,1,46,48,53
315,2011,1,8685,1,46,49,55
333,7815,1,2261,1,47,49,53
354,4738,1,8703,1,47,49,54
343,3517,1,7815,1,49,51,57
381,3698,1,5550,1,49,51,56
353,3172,1,2293,1,49,52,56
344,3734,1,3735,1,50,52,57
402,8545,1,8030,1,50,52,58
438,8077,1,8829,1,50,54,60
329,2332,1,2148,1,50,51,58
367,3962,1,10961,1,50,51,56
400,7182,1,2011,1,50,51,59
383,6110,1,6216,1,50,52,56
358,6188,1,11154,1,50,51,56
385,6962,1,8685,1,50,52,58
331,4599,1,7815,1,50,51,55
378,1366,1,9660,1,51,53,58
377,1317,1,6885,1,51,55,60
416,5750,1,10342,1,51,52,58
342,2946,1,903,1,51,52,57
347,9921,1,766,1,51,52,58
364,324,1,6885,1,51,53,57
373,10257,1,8225,1,51,53,57
370,4809,1,4135,1,51,52,57
457,8862,1,8030,1,51,54,60
455,7750,1,4329,1,51,55,60
395,3617,1,6582,1,51,52,57
387,7381,1,6781,1,52,53,57
379,2529,1,4135,1,52,54,59
417,8807,1,4135,1,52,55,61
362,10919,1,4745,1,52,53,58
415,4914,1,4135,1,52,54,60
465,56,1,6188,1,52,55,61
421,10142,1,6885,1,52,54,58
440,10188,1,3734,1,52,53,59
432,3699,1,4599,1,52,55,59
372,7752,1,7519,1,52,53,58
452,5508,1,10693,1,52,54,60
389,9139,1,7182,1,52,54,58
394,2522,1,2958,1,52,54,58
431,3027,1,7182,1,52,55,61
399,7066,1,4786,1,52,55,59
408,1743,1,3962,1,52,56,61
422,11325,1,11195,1,53,55,60
425,292,1,4599,1,53,55,61
391,10530,1,766,1,53,55,59
388,7557,1,2946,1,53,55,62
486,2319,1,903,1,53,56,62
446,3636,1,10477,1,53,56,61
414,4057,1,6110,1,53,55,62
435,5970,1,8575,1,53,55,62
434,5839,1,8575,1,53,55,63
396,6116,1,2332,1,53,54,60
393,11443,1,3962,1,53,54,60
411,2825,1,9438,1,53,54,60
441,10802,1,3172,1,53,55,59
447,3885,1,8829,1,53,55,61
420,10122,1,4599,1,53,55,60
407,802,1,6885,1,53,55,60
419,9639,1,6036,1,53,57,62
471,5300,1,1667,1,53,57,63
418,9130,1,6036,1,53,54,58
406,448,1,8575,1,53,55,58
398,6887,1,3172,1,53,55,59
412,3688,1,2946,1,53,55,60
386,7113,1,10919,1,54,55,61
497,8848,1,9921,1,54,57,63
439,8112,1,3617,1,54,56,61
461,10526,1,3962,1,54,56,61
413,3783,1,10477,1,54,56,61
427,1015,1,7519,1,54,56,61
479,8435,1,11195,1,54,57,62
410,2602,1,10257,1,54,55,59
376,750,1,8155,1,54,55,61
481,10411,1,7519,1,54,56,62
442,11013,1,1667,1,54,56,61
516,6186,1,10257,1,54,57,63
409,2194,1,7752,1,54,56,60
468,4121,1,10919,1,55,57,61
423,11392,1,9921,1,55,57,62
521,8163,1,3532,1,55,57,63
513,5759,1,10919,1,55,58,64
